year,round,name,weather_class,weather_celsius
2014,1,Australian Grand Prix,Overcast,19
2014,2,Malaysian Grand Prix,Dry,32
2014,3,Bahrain Grand Prix,Dry,26
2014,4,Chinese Grand Prix,Mostly cloudy,
2014,5,Spanish Grand Prix,Sunny,
2014,6,Monaco Grand Prix,Overcast,21
2014,7,Canadian Grand Prix,Sunny,28
2014,8,Austrian Grand Prix,Partly cloudy,
2014,9,British Grand Prix,Mostly cloudy,21
2014,10,German Grand Prix,Cloudy,26
2014,11,Hungarian Grand Prix,Damp,26
2014,12,Belgian Grand Prix,Mostly cloudy,15
2014,13,Italian Grand Prix,Sunny,25
2014,14,Singapore Grand Prix,Clear,30
2014,15,Japanese Grand Prix,Rain,20
2014,16,Russian Grand Prix,Dry,21
2014,17,United States Grand Prix,Sunny,23
2014,18,Brazilian Grand Prix,Sunny,24
2014,19,Abu Dhabi Grand Prix,Clear,30
2015,1,Australian Grand Prix,Partly cloudy,18
2015,2,Malaysian Grand Prix,Sunny,33
2015,3,Chinese Grand Prix,Sunny,21
2015,4,Bahrain Grand Prix,Sunny,26
2015,5,Spanish Grand Prix,Sunny,25
2015,6,Monaco Grand Prix,Partly cloudy,19
2015,7,Canadian Grand Prix,Sunny,21
2015,8,Austrian Grand Prix,Cloudy,15
2015,9,British Grand Prix,Rain,20
2015,10,Hungarian Grand Prix,Sunny,24
2015,11,Belgian Grand Prix,Cloudy,23
2015,12,Italian Grand Prix,Partly cloudy,23
2015,13,Singapore Grand Prix,Dry,29
2015,14,Japanese Grand Prix,Partly cloudy,27
2015,15,Russian Grand Prix,Partly cloudy,18
2015,16,United States Grand Prix,Very cloudy,17
2015,17,Mexican Grand Prix,Partly cloudy,24
2015,18,Brazilian Grand Prix,Dry,28
2015,19,Abu Dhabi Grand Prix,Clear,27
2016,1,Australian Grand Prix,Partly cloudy,23
2016,2,Bahrain Grand Prix,Dry,22
2016,3,Chinese Grand Prix,Sunny,21
2016,4,Russian Grand Prix,Partly cloudy,16
2016,5,Spanish Grand Prix,Partly cloudy,22
2016,6,Monaco Grand Prix,Rain,18
2016,7,Canadian Grand Prix,Cloudy,12
2016,8,European Grand Prix,Partly cloudy,33
2016,9,Austrian Grand Prix,Cloudy,
2016,10,British Grand Prix,Wet,
2016,11,Hungarian Grand Prix,Sunny,
2016,12,German Grand Prix,Partly cloudy,
2016,13,Belgian Grand Prix,Partly cloudy,
2016,14,Italian Grand Prix,Sunny,
2016,15,Singapore Grand Prix,Clear,30
2016,16,Malaysian Grand Prix,Sunny,33
2016,17,Japanese Grand Prix,Cloudy,
2016,18,United States Grand Prix,Sunny,29
2016,19,Mexican Grand Prix,Sunny,
2016,20,Brazilian Grand Prix,Rain,16
2016,21,Abu Dhabi Grand Prix,Sunny,
2017,1,Australian Grand Prix,Partly cloudy,24
2017,2,Chinese Grand Prix,Rain,
2017,3,Bahrain Grand Prix,,
2017,4,Russian Grand Prix,,
2017,5,Spanish Grand Prix,,
2017,6,Monaco Grand Prix,,
2017,7,Canadian Grand Prix,Sunny,29
2017,8,Azerbaijan Grand Prix,Sunny,
2017,9,Austrian Grand Prix,Partly cloudy,
2017,10,British Grand Prix,Overcast,
2017,11,Hungarian Grand Prix,Sunny,
2017,12,Belgian Grand Prix,Partly cloudy,
2017,13,Italian Grand Prix,Sunny,
2017,14,Singapore Grand Prix,Wet,28
2017,15,Malaysian Grand Prix,Cloudy,
2017,16,Japanese Grand Prix,Sunny,
2017,17,United States Grand Prix,Sunny,29
2017,18,Mexican Grand Prix,Sunny,
2017,19,Brazilian Grand Prix,,
2017,20,Abu Dhabi Grand Prix,Clear,
2018,1,Australian Grand Prix,Sunny,
2018,2,Bahrain Grand Prix,,
2018,3,Chinese Grand Prix,,
2018,4,Azerbaijan Grand Prix,Cloudy,
2018,5,Spanish Grand Prix,Partly cloudy,16
2018,6,Monaco Grand Prix,,
2018,7,Canadian Grand Prix,,23
2018,8,French Grand Prix,Partly cloudy,
2018,9,Austrian Grand Prix,Sunny,
2018,10,British Grand Prix,Sunny,27
2018,11,German Grand Prix,Rain,
2018,12,Hungarian Grand Prix,,
2018,13,Belgian Grand Prix,,
2018,14,Italian Grand Prix,,
2018,15,Singapore Grand Prix,,
2018,16,Russian Grand Prix,,
2018,17,Japanese Grand Prix,,
2018,18,United States Grand Prix,Partly cloudy,
2018,19,Mexican Grand Prix,,
2018,20,Brazilian Grand Prix,,
2018,21,Abu Dhabi Grand Prix,,
2019,1,Australian Grand Prix,,
2019,2,Bahrain Grand Prix,Clear,
2019,3,Chinese Grand Prix,,
2019,4,Azerbaijan Grand Prix,,
2019,5,Spanish Grand Prix,,
2019,6,Monaco Grand Prix,Clear,
2019,7,Canadian Grand Prix,,30
2019,8,French Grand Prix,Clear,
2019,9,Austrian Grand Prix,Sunny,36
2019,10,British Grand Prix,Partly cloudy,
2019,11,German Grand Prix,Rain,
2019,12,Hungarian Grand Prix,Sunny,
2019,13,Belgian Grand Prix,Partly cloudy,
2019,14,Italian Grand Prix,Partly cloudy,
2019,15,Singapore Grand Prix,Hazy,
2019,16,Russian Grand Prix,Partly cloudy,
2019,17,Japanese Grand Prix,Sunny,
2019,18,Mexican Grand Prix,Partly cloudy,
2019,19,United States Grand Prix,Sunny,
2019,20,Brazilian Grand Prix,Sunny,
2019,21,Abu Dhabi Grand Prix,Clear,
2020,1,Austrian Grand Prix,Sunny,
2020,2,Styrian Grand Prix,Sunny,
2020,3,Hungarian Grand Prix,Wet,
2020,4,British Grand Prix,Partly cloudy,
2020,5,70th Anniversary Grand Prix,Sunny,
2020,6,Spanish Grand Prix,Partly cloudy,
2020,7,Belgian Grand Prix,Partly cloudy,
2020,8,Italian Grand Prix,Sunny,
2020,9,Tuscan Grand Prix,Sunny,
2020,10,Russian Grand Prix,Sunny,
2020,11,Eifel Grand Prix,Partly cloudy,10
2020,12,Portuguese Grand Prix,Cloudy,
2020,13,Emilia Romagna Grand Prix,Partly cloudy,
2020,14,Turkish Grand Prix,Wet,14
2020,15,Bahrain Grand Prix,Clear,
2020,16,Sakhir Grand Prix,Clear,
2020,17,Abu Dhabi Grand Prix,Clear,
2021,1,Bahrain Grand Prix,Clear,21
2021,2,Emilia Romagna Grand Prix,Wet,9
2021,3,Portuguese Grand Prix,Partly cloudy,
2021,4,Spanish Grand Prix,Cloudy,
2021,5,Monaco Grand Prix,Sunny,
2021,6,Azerbaijan Grand Prix,Sunny,
2021,7,French Grand Prix,Partly cloudy,27
2021,8,Styrian Grand Prix,Partly cloudy,29
2021,9,Austrian Grand Prix,Partly cloudy,
2021,10,British Grand Prix,Clear,31
2021,11,Hungarian Grand Prix,Rain,29
2021,12,Belgian Grand Prix,Rain,
2021,13,Dutch Grand Prix,Sunny,
2021,14,Italian Grand Prix,Sunny,
2021,15,Russian Grand Prix,Rain,
2021,16,Turkish Grand Prix,Rain,
2021,17,United States Grand Prix,Sunny,
2021,18,Mexico City Grand Prix,Sunny,
2021,19,Ṣo Paulo Grand Prix,Sunny,
2021,20,Qatar Grand Prix,Clear,
2021,21,Saudi Arabian Grand Prix,Clear,
2021,22,Abu Dhabi Grand Prix,Clear,
2022,1,Bahrain Grand Prix,Clear,
2022,2,Saudi Arabian Grand Prix,Clear,
2022,3,Australian Grand Prix,Partly cloudy,
2022,4,Emilia Romagna Grand Prix,Damp,
2022,5,Miami Grand Prix,Partly cloudy,
2022,6,Spanish Grand Prix,Sunny,
2022,7,Monaco Grand Prix,Rain,
2022,8,Azerbaijan Grand Prix,Sunny,
2022,9,Canadian Grand Prix,Sunny,
2022,10,British Grand Prix,Partly cloudy,
2022,11,Austrian Grand Prix,Partly cloudy,
2022,12,French Grand Prix,Sunny,
2022,13,Hungarian Grand Prix,Wet,
2022,14,Belgian Grand Prix,Sunny,
2022,15,Dutch Grand Prix,Partly cloudy,
2022,16,Italian Grand Prix,Sunny,
2022,17,Singapore Grand Prix,Damp,
2022,18,Japanese Grand Prix,Rain,
2022,19,United States Grand Prix,Partly cloudy,
2022,20,Mexico City Grand Prix,Partly cloudy,
2022,21,Brazilian Grand Prix,Cloudy,
2022,22,Abu Dhabi Grand Prix,Clear,
2023,1,Bahrain Grand Prix,Clear,